,pairId,playerId1,playerId2,player1Name,player2Name,icetime,corsiPercentage,cf_inf_on1,cf_inf_on2,cf_inf_on1_std,cf_inf_on2_std
551,84684838476871,8468483,8476871,Marian Gaborik,Tanner Pearson,19694.0,0.5857438813851934,-0.03719659540673159,-0.06303163488093244,5.582748031948344,6.0057492365308764
552,84684838470604,8468483,8470604,Marian Gaborik,Jeff Carter,13400.0,0.594310447761194,-0.045257809049358166,-0.0672975680085297,5.719017483243214,6.085105268220946
553,84684838468508,8468483,8468508,Marian Gaborik,Justin Williams,57466.0,0.6286673859325513,-0.10027928473132053,-0.06551631916713818,6.425143011628231,5.9976951937751295
554,84703028474089,8470302,8474089,Patrick Dwyer,Brad Malone,40612.0,0.44,0.057920801486423645,0.03612767413999646,4.220742253930611,4.561973689625349
555,84703028473533,8470302,8473533,Patrick Dwyer,Jordan Staal,64706.0,0.5143127376132043,-0.06471327562821205,0.047461159576825396,5.489606819085267,4.207420222315919
556,84703028475784,8470302,8475784,Patrick Dwyer,Jeff Skinner,17988.0,0.5085156771180788,-0.032264271043838055,0.006960596625142035,5.489606819085267,4.8880302802622335
557,84703028471804,8470302,8471804,Patrick Dwyer,Nathan Gerbe,46718.0,0.5165448007192088,-0.05498631373010954,-0.019528204402452065,5.710960344743265,5.280574969809869
558,84685268470606,8468526,8470606,Jarret Stoll,Dustin Brown,97778.0,0.5612741107406575,-0.13405701455906766,-0.029547762926017684,6.008916140794092,5.278076230754937
559,84685268473453,8468526,8473453,Jarret Stoll,Trevor Lewis,84728.0,0.5404456614106318,-0.08110581369721576,-0.013362932027587426,6.008916140794092,5.398683261505064
560,84685268468508,8468526,8468508,Jarret Stoll,Justin Williams,54998.0,0.5807756645696207,-0.12004713205662904,-0.010578131651668432,6.637642599568894,5.161622680789786
561,84685268474100,8468526,8474100,Jarret Stoll,Dwight King,77624.0,0.5350839946408328,-0.06722617123714358,0.009944372446468952,5.871113518964591,4.976315054295002
562,84685268475160,8468526,8475160,Jarret Stoll,Kyle Clifford,12008.0,0.5188774150566289,-0.025729967508597074,0.014735191991044783,5.406958622643416,4.763377155466767
563,84708528471338,8470852,8471338,Matt Moulson,Torrey Mitchell,19896.0,0.41,0.06434101880454313,0.052151992414255666,3.988206821001054,4.1854250373499795
564,84708528476878,8470852,8476878,Matt Moulson,Zemgus Girgensons,81670.0,0.4410155503856985,0.04076990015989307,0.02817983635984861,4.8461641513989555,4.951573264201428
565,84708528474589,8470852,8474589,Matt Moulson,Tyler Ennis,106688.0,0.4281096280743852,0.06789013471286454,0.03234694593704335,4.424547873361587,4.723308814133306
566,84708528475728,8470852,8475728,Matt Moulson,Johan Larsson,19698.0,0.4357295156868717,0.036578916916848725,0.03647033557909696,4.424547873361587,4.420598095520898
567,84708528473449,8470852,8473449,Matt Moulson,Kyle Okposo,46614.0,0.4790702364096623,-0.011290578431271514,0.011282427004564166,4.945662275992835,4.619357239693586
568,84708528475158,8470852,8475158,Matt Moulson,Ryan O'Reilly,19342.0,0.4664822665701582,0.0034515149910342435,0.03361594756695224,4.945662275992835,4.459484387172279
569,84708528477933,8470852,8477933,Matt Moulson,Sam Reinhart,13548.0,0.504800708591674,-0.036926546652530146,0.008132431950937602,5.5880856208066145,4.869154156087121
570,84708528478403,8470852,8478403,Matt Moulson,Jack Eichel,13548.0,0.504800708591674,-0.036926546652530146,-0.009826981049403494,5.5880856208066145,5.15765570960739
571,84708528468504,8470852,8468504,Matt Moulson,Brad Boyes,62674.0,0.55,-0.10397918537991635,-0.04095444296034578,6.48060728167178,5.546198172826589
572,84708528475166,8470852,8475166,Matt Moulson,John Tavares,89946.0,0.5312007204322594,-0.0913557642102783,-0.010987413087526376,6.48060728167178,5.485215128652194
573,84708528471226,8470852,8471226,Matt Moulson,Drew Stafford,34966.0,0.42372075730709835,0.05265839450257681,0.03851820921842064,4.945590261159116,5.136247739158683
574,84694698476177,8469469,8476177,R.J. Umberger,Matt Read,61550.0,0.46035483346872463,-0.004029050979460824,0.056225839142343914,5.697252537168335,4.904793689471889
575,84694698476872,8469469,8476872,R.J. Umberger,Scott Laughton,15072.0,0.4985562632696391,-0.044822861430662886,-0.023325058152556255,5.697252537168335,5.371447098274794
576,84694698476461,8469469,8476461,R.J. Umberger,Sean Couturier,46478.0,0.4479667799819269,0.013732105717887355,0.08665938787270133,4.812440210351224,3.6463763935505407
577,84694698473422,8469469,8473422,R.J. Umberger,Nick Foligno,90948.0,0.4921588160267406,-0.07652710903930993,0.013201240207638576,6.098916807234502,5.108637688185469
578,84694698475793,8469469,8475793,R.J. Umberger,Ryan Johansen,77104.0,0.5093694231168293,-0.0967839778450667,0.002183196624619188,6.098916807234502,4.966831862417951
579,84694698473573,8469469,8473573,R.J. Umberger,Artem Anisimov,13844.0,0.3963045362611961,0.0671619812709362,0.09758084610133277,3.950778189366706,3.433560159623701
