,lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playerId1,playerId2,playerId3,corsi_influence_on_player2,corsi_influence_on_player_1
480,84774358480883,2021,Graves-Smith,NJD,pairing,5on5,34,2891.0,297.0,0.34,0.46,0.44,19.55,1.39,1.23,4.77,0.77,11.41,8.44,1.37,1.4,1.38,22.0,6.0,10.0,38.0,2.0,0.0,0.0,10.0,0.0,4.0,12.0,20.0,26.0,2.0,4.0,14.0,11.0,4.0,8.0,25.0,2.0,1.0,0.83,0.23,0.33,1.0,0.0,1.0,35.69,28.0,26.83,4.0,0.25,0.0,0.0,1.64,1.64,1.63,26.03,2.75,1.76,5.55,0.85,14.1,11.0,2.74,2.93,2.92,22.0,14.0,8.0,44.0,8.0,1.0,0.0,3.0,0.0,13.0,11.0,14.0,28.0,5.0,10.0,21.0,23.0,8.0,6.0,22.0,12.0,2.0,0.71,1.57,0.47,2.0,5.0,1.0,47.85,36.0,38.69,3.0,0.37,0.22,0.22,2.9,3.07,3.06,8477435,8480883,,-0.03147347139871898,-0.05188820962980373
481,84793988480069,2021,Girard-Makar,COL,pairing,5on5,59,13360.0,312.0,0.6,0.56,0.57,135.7,10.87,9.31,32.2,4.31,76.04,56.26,10.54,11.0,10.66,135.0,54.0,64.0,253.0,13.0,13.0,0.0,33.0,6.0,50.0,74.0,122.0,176.0,10.0,23.0,116.0,81.0,20.0,31.0,147.0,33.0,9.0,4.52,3.87,2.48,8.0,3.0,2.0,256.66,189.0,191.83,15.0,1.91,2.66,2.66,10.12,10.26,10.04,103.33,7.37,6.62,25.54,3.29,58.76,42.41,7.11,7.37,7.11,104.0,40.0,55.0,199.0,13.0,4.0,1.0,20.0,4.0,42.0,61.0,91.0,131.0,19.0,49.0,115.0,68.0,31.0,23.0,114.0,25.0,5.0,3.2,2.97,1.2,7.0,4.0,2.0,197.38,144.0,143.59,15.0,1.37,0.94,0.94,7.81,7.83,7.73,8479398,8480069,,0.0,0.048762379484488694
484,84793788480145,2021,Stanley-Pionk,WPG,pairing,5on5,26,992.0,229.0,0.38,0.52,0.5,12.26,0.93,0.76,2.76,0.38,6.63,5.53,0.93,0.93,0.93,14.0,3.0,5.0,22.0,1.0,0.0,0.0,3.0,0.0,5.0,8.0,13.0,16.0,1.0,2.0,1.0,8.0,1.0,3.0,12.0,5.0,0.0,0.4,0.53,0.0,0.0,1.0,0.0,22.23,17.0,17.01,2.0,0.16,0.0,0.0,1.09,1.08,1.08,12.47,1.53,0.96,2.74,0.38,6.77,4.6,1.45,1.52,1.44,15.0,2.0,3.0,20.0,1.0,2.0,0.0,5.0,0.0,3.0,6.0,14.0,16.0,1.0,2.0,1.0,13.0,4.0,1.0,9.0,5.0,3.0,0.24,0.59,0.71,0.0,1.0,0.0,19.35,17.0,16.55,0.0,0.2,0.5,0.5,1.23,1.23,1.22,8479378,8480145,,0.050627935535327795,0.0408899454998094
492,84784078478840,2021,Dunn-Borgen,SEA,pairing,5on5,18,3352.0,134.0,0.53,0.6,0.58,28.94,1.82,1.93,6.98,0.94,17.78,12.55,1.75,1.82,1.75,30.0,12.0,17.0,59.0,1.0,2.0,0.0,11.0,0.0,13.0,15.0,29.0,41.0,6.0,12.0,19.0,21.0,8.0,3.0,35.0,7.0,0.0,0.9,0.93,0.0,0.0,1.0,0.0,58.49,42.0,41.74,2.0,0.39,0.33,0.33,1.89,1.87,1.8,20.78,1.59,1.45,4.7,0.64,12.38,9.23,1.57,1.66,1.63,17.0,13.0,9.0,39.0,2.0,0.0,0.0,3.0,0.0,11.0,14.0,15.0,28.0,5.0,10.0,24.0,28.0,10.0,7.0,23.0,7.0,0.0,0.71,0.89,0.0,2.0,0.0,0.0,40.14,30.0,30.8,4.0,0.3,0.0,0.0,1.89,1.96,1.93,8478407,8478840,,0.08977615749179724,0.09408946726311507
495,84768548477205,2021,Lindholm-Sustr,ANA,pairing,5on5,2,1015.0,8.0,0.46,0.47,0.42,7.25,0.48,0.37,2.0,0.22,3.88,3.05,0.47,0.51,0.51,6.0,4.0,5.0,15.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,6.0,10.0,0.0,0.0,5.0,4.0,2.0,2.0,8.0,2.0,0.0,0.23,0.25,0.0,0.0,0.0,0.0,15.76,10.0,10.52,1.0,0.07,0.0,0.0,0.55,0.59,0.59,9.58,0.57,0.61,2.08,0.3,5.83,4.6,0.57,0.54,0.54,7.0,7.0,3.0,17.0,0.0,0.0,0.0,0.0,2.0,2.0,10.0,7.0,14.0,1.0,2.0,7.0,5.0,1.0,5.0,11.0,3.0,0.0,0.24,0.33,0.0,0.0,0.0,0.0,16.27,14.0,13.43,3.0,0.13,0.0,0.0,0.69,0.66,0.66,8476854,8477205,,0.020677773697038493,-0.030389172194317693
498,84784688478840,2021,Lauzon-Borgen,SEA,pairing,5on5,5,1811.0,29.0,0.73,0.51,0.52,12.52,1.68,0.93,3.05,0.49,6.41,4.43,1.5,1.55,1.38,13.0,4.0,5.0,22.0,0.0,4.0,0.0,1.0,0.0,5.0,7.0,13.0,17.0,1.0,2.0,8.0,17.0,2.0,11.0,12.0,2.0,3.0,0.35,0.33,1.01,0.0,0.0,0.0,20.06,17.0,15.78,7.0,0.2,1.21,1.21,0.67,0.62,0.61,11.89,0.62,0.73,2.62,0.34,6.35,5.33,0.62,0.67,0.67,12.0,4.0,5.0,21.0,2.0,0.0,0.0,0.0,0.0,6.0,8.0,10.0,14.0,2.0,4.0,13.0,15.0,0.0,3.0,15.0,1.0,0.0,0.53,0.09,0.0,1.0,1.0,0.0,22.62,16.0,16.96,1.0,0.15,0.0,0.0,0.77,0.82,0.82,8478468,8478840,,-0.010625107866487182,0.041222925635181984
500,84772448477969,2021,Pettersson-Ruhwedel,PIT,pairing,5on5,48,9234.0,325.0,0.6,0.56,0.59,83.64,6.85,5.57,20.32,2.72,45.47,34.08,6.71,6.84,6.7,80.0,35.0,31.0,146.0,4.0,5.0,0.0,17.0,5.0,42.0,42.0,76.0,111.0,5.0,10.0,66.0,85.0,18.0,19.0,86.0,23.0,6.0,2.26,3.01,1.58,2.0,2.0,0.0,144.09,115.0,113.73,10.0,1.16,0.93,0.93,7.08,7.06,7.0,58.54,4.54,3.95,13.17,2.03,33.03,24.27,4.46,4.54,4.46,66.0,15.0,35.0,116.0,7.0,6.0,0.0,9.0,2.0,19.0,38.0,59.0,74.0,6.0,12.0,54.0,90.0,13.0,15.0,67.0,10.0,4.0,2.23,1.15,1.17,4.0,2.0,1.0,117.47,81.0,81.06,8.0,0.81,0.81,0.81,4.54,4.57,4.54,8477244,8477969,,0.02336117936117943,0.023425074183976324
501,84756908482067,2021,Mackey-Tanev,CGY,pairing,5on5,3,1820.0,9.0,0.55,0.58,0.59,15.69,0.94,1.01,3.84,0.5,8.89,6.82,0.91,0.98,0.95,16.0,6.0,8.0,30.0,0.0,1.0,0.0,7.0,2.0,5.0,7.0,16.0,22.0,1.0,2.0,18.0,15.0,4.0,2.0,18.0,4.0,0.0,0.48,0.45,0.0,0.0,0.0,0.0,32.37,22.0,23.64,0.0,0.21,0.17,0.17,0.97,1.02,0.99,10.45,0.75,0.6,2.58,0.36,5.83,4.88,0.75,0.72,0.72,13.0,2.0,7.0,22.0,1.0,0.0,0.0,2.0,1.0,3.0,8.0,12.0,14.0,0.0,0.0,21.0,7.0,4.0,1.0,12.0,3.0,0.0,0.37,0.38,0.0,1.0,0.0,0.0,20.73,15.0,14.21,1.0,0.12,0.0,0.0,0.87,0.83,0.83,8475690,8482067,,0.04069139966273183,0.04090144751668534
503,84793338480878,2021,Hajek-Lundkvist,NYR,pairing,5on5,3,805.0,17.0,0.15,0.31,0.33,2.95,0.15,0.16,0.73,0.08,1.62,1.26,0.15,0.16,0.16,3.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,4.0,6.0,0.0,2.0,4.0,0.0,0.0,0.15,0.0,0.0,1.0,0.0,0.0,5.23,4.0,4.19,2.0,0.03,0.0,0.0,0.18,0.19,0.19,6.31,0.85,0.49,1.51,0.19,2.81,2.15,0.78,0.84,0.78,6.0,2.0,3.0,11.0,0.0,1.0,0.0,3.0,0.0,2.0,2.0,6.0,8.0,2.0,4.0,2.0,6.0,4.0,4.0,5.0,0.0,3.0,0.14,0.0,0.71,0.0,0.0,0.0,10.65,8.0,7.94,2.0,0.11,0.27,0.27,0.69,0.68,0.67,8479333,8480878,,-0.11495717404691258,-0.07464818939206475
505,84757538478859,2021,Mikkola-Faulk,STL,pairing,5on5,37,4225.0,292.0,0.46,0.44,0.45,33.94,3.18,2.33,7.82,1.12,19.85,14.7,3.11,3.14,3.07,31.0,18.0,12.0,61.0,4.0,3.0,1.0,1.0,2.0,12.0,27.0,27.0,45.0,3.0,6.0,18.0,26.0,5.0,5.0,41.0,5.0,3.0,1.68,0.64,0.85,1.0,2.0,1.0,59.98,49.0,48.35,4.0,0.48,0.68,0.68,2.99,2.92,2.88,41.94,3.71,2.89,9.84,1.45,24.09,18.02,3.55,3.85,3.68,42.0,18.0,18.0,78.0,4.0,5.0,2.0,4.0,1.0,21.0,25.0,38.0,56.0,5.0,10.0,25.0,29.0,8.0,9.0,49.0,9.0,2.0,1.74,1.1,0.87,2.0,1.0,1.0,80.41,60.0,61.48,5.0,0.6,1.3,1.3,3.0,3.09,3.01,8475753,8478859,,0.0,-0.052559024118423725
507,84740908477950,2021,Smith-Deangelo,CAR,pairing,5on5,22,1530.0,188.0,0.4,0.49,0.5,16.31,1.82,1.1,4.12,0.59,9.12,6.26,1.74,1.86,1.79,15.0,8.0,4.0,27.0,3.0,1.0,0.0,3.0,0.0,9.0,7.0,12.0,20.0,3.0,6.0,9.0,9.0,5.0,5.0,17.0,3.0,3.0,0.49,0.42,0.91,2.0,1.0,0.0,28.13,23.0,23.55,2.0,0.23,0.19,0.44,1.61,1.65,1.59,17.83,2.68,1.28,4.17,0.54,7.85,6.48,2.43,2.61,2.38,16.0,7.0,5.0,28.0,3.0,5.0,2.0,1.0,0.0,6.0,8.0,13.0,20.0,3.0,6.0,5.0,17.0,5.0,6.0,13.0,6.0,4.0,0.47,0.94,1.27,0.0,1.0,2.0,26.43,23.0,22.21,4.0,0.27,1.31,1.31,1.65,1.65,1.63,8474090,8477950,,-0.061550885254764265,-0.0837227409592749
522,84774988478021,2021,Nurse-Lagesson,EDM,pairing,5on5,16,744.0,178.0,0.32,0.48,0.37,4.96,0.56,0.39,1.23,0.2,2.75,1.87,0.53,0.56,0.52,7.0,0.0,5.0,12.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,5.0,5.0,2.0,4.0,3.0,7.0,2.0,7.0,5.0,1.0,1.0,0.16,0.13,0.27,0.0,1.0,1.0,12.0,7.0,6.79,4.0,0.08,0.27,0.27,0.37,0.37,0.36,9.22,1.18,0.82,2.49,0.31,4.33,2.88,1.06,1.25,1.12,9.0,3.0,1.0,13.0,1.0,3.0,0.0,1.0,1.0,3.0,3.0,8.0,11.0,0.0,0.0,2.0,9.0,2.0,0.0,8.0,1.0,3.0,0.31,0.13,0.73,0.0,1.0,0.0,13.85,12.0,12.7,0.0,0.17,0.58,0.58,0.77,0.8,0.79,8477498,8478021,,-0.06202018373534879,-0.060522649307466314
528,84702818476879,2021,Keith-Ceci,EDM,pairing,5on5,55,30736.0,237.0,0.48,0.49,0.48,225.24,19.17,15.06,52.46,7.52,123.75,93.04,18.87,19.43,19.13,233.0,78.0,126.0,437.0,20.0,10.0,1.0,44.0,10.0,109.0,118.0,213.0,291.0,16.0,35.0,237.0,201.0,73.0,85.0,229.0,64.0,18.0,6.93,7.68,4.57,3.0,8.0,9.0,442.78,311.0,313.77,56.0,3.11,1.77,1.77,20.51,20.72,20.46,245.2,20.56,16.16,56.76,7.87,137.61,102.05,20.09,20.5,20.02,258.0,83.0,111.0,452.0,23.0,13.0,4.0,59.0,7.0,108.0,131.0,235.0,318.0,21.0,45.0,228.0,224.0,60.0,85.0,252.0,77.0,12.0,8.15,9.24,3.18,8.0,11.0,4.0,446.59,341.0,339.41,57.0,3.34,2.67,2.67,21.23,21.13,20.77,8470281,8476879,,-0.031766102019332054,-0.05695903868081742
533,84793248482073,2021,Lindgren-Schneider,NYR,pairing,5on5,21,4155.0,165.0,0.49,0.4,0.35,24.76,2.41,1.81,5.96,0.77,12.79,9.25,2.29,2.36,2.24,26.0,7.0,16.0,49.0,2.0,5.0,0.0,9.0,0.0,5.0,12.0,24.0,31.0,7.0,12.0,30.0,40.0,9.0,8.0,22.0,7.0,4.0,0.65,0.88,0.88,2.0,0.0,0.0,48.56,33.0,32.81,2.0,0.38,0.82,0.82,1.96,1.92,1.91,41.32,2.51,2.42,9.68,1.34,24.69,19.36,2.47,2.58,2.54,42.0,18.0,15.0,75.0,1.0,0.0,0.0,8.0,1.0,24.0,26.0,41.0,59.0,4.0,8.0,39.0,38.0,7.0,4.0,50.0,9.0,1.0,1.16,1.14,0.21,1.0,0.0,0.0,76.16,60.0,60.57,2.0,0.49,0.0,0.0,3.0,3.09,3.04,8479324,8482073,,-0.0224605454060936,-0.08436163233171495
536,84767928476892,2021,Krug-Parayko,STL,pairing,5on5,54,8467.0,358.0,0.47,0.51,0.48,72.02,6.72,4.94,16.98,2.24,40.36,28.75,6.59,6.66,6.53,75.0,25.0,40.0,140.0,7.0,8.0,1.0,12.0,3.0,31.0,39.0,68.0,93.0,12.0,24.0,56.0,37.0,19.0,19.0,70.0,25.0,5.0,2.24,2.94,1.54,3.0,4.0,0.0,139.4,100.0,99.76,11.0,1.03,1.77,1.61,6.14,6.12,6.06,79.73,7.64,5.61,18.29,2.7,43.88,31.88,7.41,7.7,7.48,77.0,33.0,24.0,134.0,7.0,6.0,1.0,20.0,2.0,32.0,43.0,70.0,103.0,9.0,18.0,69.0,55.0,22.0,19.0,78.0,27.0,5.0,2.83,3.37,1.44,1.0,4.0,2.0,134.3,110.0,109.96,12.0,1.17,1.2,1.2,7.6,7.65,7.5,8476792,8476892,,0.07667458726547899,0.023034821412570183
538,84795788480839,2021,Dahlin-Fitzgerald,BUF,pairing,5on5,28,4083.0,170.0,0.47,0.53,0.52,34.14,2.56,2.13,8.54,1.13,18.79,14.85,2.52,2.54,2.51,39.0,9.0,13.0,61.0,2.0,4.0,0.0,7.0,0.0,13.0,22.0,37.0,46.0,3.0,6.0,24.0,23.0,9.0,9.0,40.0,5.0,3.0,1.1,0.59,0.88,1.0,1.0,0.0,59.85,48.0,47.08,5.0,0.43,0.43,0.43,2.56,2.56,2.53,30.92,2.87,2.14,6.95,1.06,18.01,12.97,2.78,2.87,2.78,33.0,11.0,11.0,55.0,1.0,4.0,1.0,6.0,0.0,14.0,19.0,32.0,43.0,6.0,12.0,25.0,22.0,12.0,11.0,32.0,11.0,1.0,1.04,1.48,0.36,0.0,0.0,1.0,56.5,44.0,44.59,6.0,0.45,0.75,0.75,2.57,2.58,2.55,8479578,8480839,,0.031379718176595794,0.057017393097758884
543,84793418480950,2021,Dineen-Lyubushkin,ARI,pairing,5on5,11,5725.0,48.0,0.42,0.47,0.5,41.34,2.82,2.64,9.95,1.41,24.59,17.6,2.76,2.67,2.61,42.0,17.0,18.0,77.0,5.0,1.0,0.0,10.0,1.0,20.0,22.0,37.0,54.0,6.0,15.0,45.0,53.0,7.0,17.0,51.0,7.0,1.0,1.72,0.85,0.25,3.0,2.0,0.0,72.73,59.0,56.38,11.0,0.54,0.25,0.25,3.11,2.96,2.93,41.78,3.84,2.92,9.96,1.4,22.95,16.94,3.67,4.0,3.84,44.0,14.0,29.0,87.0,5.0,4.0,1.0,18.0,1.0,19.0,11.0,39.0,53.0,5.0,13.0,40.0,66.0,6.0,18.0,40.0,14.0,4.0,1.05,1.6,1.18,1.0,3.0,1.0,93.48,58.0,60.75,9.0,0.6,0.82,0.82,3.62,3.8,3.75,8479341,8480950,,-0.010886799467145825,0.01250810479278014
547,84772208480049,2021,Schmidt-Samberg,WPG,pairing,5on5,9,1044.0,62.0,0.6,0.62,0.67,8.88,0.59,0.43,1.94,0.26,4.28,4.5,0.59,0.61,0.61,9.0,3.0,4.0,16.0,1.0,0.0,0.0,0.0,1.0,6.0,4.0,8.0,11.0,1.0,2.0,5.0,8.0,5.0,5.0,9.0,3.0,0.0,0.21,0.38,0.0,0.0,1.0,0.0,16.74,12.0,12.35,3.0,0.09,0.0,0.0,0.68,0.7,0.7,4.61,0.4,0.25,1.06,0.13,2.21,1.96,0.4,0.37,0.37,5.0,1.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,8.0,3.0,4.0,4.0,1.0,1.0,0.07,0.1,0.22,0.0,0.0,1.0,9.2,6.0,5.72,2.0,0.05,0.0,0.0,0.45,0.42,0.42,8477220,8480049,,0.1526501644452138,0.1215996118438693
552,84768798477498,2021,Nurse-Ceci,EDM,pairing,5on5,65,30235.0,251.0,0.54,0.52,0.53,286.51,25.63,19.41,64.02,8.99,155.99,117.97,24.81,25.76,24.94,291.0,101.0,117.0,509.0,25.0,20.0,5.0,76.0,9.0,127.0,135.0,266.0,367.0,30.0,60.0,277.0,230.0,82.0,117.0,278.0,89.0,25.0,8.65,10.53,6.45,10.0,9.0,6.0,517.62,392.0,397.22,65.0,4.02,4.38,4.38,25.27,25.43,24.98,254.15,21.71,16.69,59.89,8.24,140.97,104.48,20.89,21.77,20.94,261.0,91.0,111.0,463.0,20.0,18.0,5.0,65.0,15.0,114.0,120.0,241.0,332.0,20.0,40.0,228.0,235.0,68.0,110.0,263.0,73.0,16.0,7.8,9.02,4.89,6.0,9.0,5.0,456.58,352.0,348.0,64.0,3.44,3.94,3.94,21.22,21.19,20.76,8476879,8477498,,-0.030813662374821305,0.015732188222803534
553,84784608479369,2021,Werenski-Peeke,CBJ,pairing,5on5,57,30598.0,245.0,0.44,0.47,0.46,252.41,19.54,16.52,59.25,7.99,143.28,107.42,19.11,19.52,19.1,241.0,113.0,116.0,470.0,21.0,18.0,5.0,63.0,12.0,110.0,130.0,220.0,333.0,38.0,79.0,267.0,204.0,56.0,62.0,275.0,66.0,13.0,7.99,7.86,3.7,6.0,9.0,6.0,472.95,354.0,355.68,46.0,3.38,2.99,2.99,19.94,19.96,19.72,299.5,24.61,19.86,70.41,9.57,164.49,122.05,23.79,25.01,24.15,312.0,99.0,121.0,532.0,33.0,18.0,4.0,77.0,11.0,122.0,150.0,279.0,378.0,31.0,67.0,285.0,153.0,51.0,84.0,317.0,75.0,19.0,9.78,9.35,5.48,10.0,17.0,6.0,537.71,411.0,414.39,49.0,4.09,4.23,4.23,24.47,24.86,24.44,8478460,8479369,,0.01539647266313926,-0.0482004560325171
555,84774358478399,2021,Graves-Siegenthaler,NJD,pairing,5on5,57,5125.0,410.0,0.49,0.38,0.4,24.6,2.9,1.66,5.07,0.73,12.83,9.81,2.78,2.92,2.8,21.0,12.0,8.0,41.0,1.0,2.0,1.0,4.0,0.0,9.0,17.0,20.0,32.0,5.0,10.0,22.0,30.0,10.0,18.0,19.0,11.0,3.0,0.66,1.33,0.92,0.0,0.0,1.0,41.27,33.0,33.09,7.0,0.35,0.65,0.65,2.6,2.62,2.55,34.06,2.97,2.21,8.31,1.21,19.26,15.05,2.95,2.94,2.92,36.0,13.0,18.0,67.0,5.0,3.0,1.0,9.0,1.0,11.0,20.0,31.0,44.0,3.0,6.0,26.0,36.0,8.0,15.0,37.0,9.0,3.0,0.99,1.06,0.92,4.0,0.0,1.0,67.81,49.0,49.08,9.0,0.46,0.54,0.54,2.89,2.86,2.85,8477435,8478399,,-0.1503971945688244,-0.13896461248654468
556,84765258477462,2021,Hagg-Miller,BUF,pairing,5on5,22,5435.0,125.0,0.48,0.5,0.5,52.09,3.97,3.16,12.19,1.67,29.41,22.6,3.86,3.92,3.81,54.0,19.0,19.0,92.0,9.0,2.0,1.0,6.0,0.0,27.0,29.0,45.0,64.0,8.0,24.0,35.0,34.0,10.0,17.0,61.0,8.0,4.0,1.7,0.91,1.37,3.0,4.0,2.0,91.15,73.0,72.16,9.0,0.64,0.65,0.65,3.96,3.94,3.83,52.97,4.31,3.47,12.64,1.67,29.73,22.17,4.26,4.26,4.22,57.0,17.0,18.0,92.0,5.0,3.0,1.0,13.0,4.0,21.0,28.0,52.0,69.0,4.0,11.0,37.0,27.0,5.0,15.0,58.0,12.0,4.0,1.66,1.29,1.36,2.0,1.0,2.0,93.05,74.0,74.19,9.0,0.72,0.95,0.95,4.08,4.11,4.06,8476525,8477462,,0.03341237286007287,0.011754867456652995
558,84769798480070,2021,Gustafsson-Mitchell,CHI,pairing,5on5,5,1387.0,24.0,0.27,0.33,0.31,6.86,0.57,0.48,1.66,0.24,4.21,2.85,0.55,0.54,0.52,8.0,2.0,3.0,13.0,0.0,1.0,0.0,2.0,0.0,4.0,3.0,8.0,10.0,3.0,8.0,10.0,16.0,1.0,2.0,8.0,2.0,0.0,0.27,0.29,0.0,0.0,0.0,0.0,12.43,10.0,9.64,2.0,0.1,0.2,0.2,0.47,0.45,0.44,15.99,1.52,1.01,4.19,0.56,8.62,6.1,1.48,1.64,1.59,18.0,4.0,5.0,27.0,4.0,2.0,2.0,6.0,0.0,5.0,5.0,14.0,18.0,2.0,4.0,12.0,14.0,5.0,1.0,18.0,2.0,2.0,0.46,0.21,0.84,2.0,0.0,2.0,27.88,22.0,22.48,0.0,0.21,0.84,0.84,0.88,0.92,0.92,8476979,8480070,,-0.10912335958005243,-0.1750397554824093
560,84818498482624,2021,Hayes-Miromanov,VGK,pairing,5on5,2,1248.0,6.0,0.61,0.58,0.55,13.56,1.27,1.02,3.08,0.39,6.86,5.37,1.14,1.3,1.17,12.0,6.0,7.0,25.0,0.0,0.0,0.0,1.0,0.0,10.0,7.0,12.0,18.0,2.0,4.0,10.0,18.0,5.0,6.0,11.0,5.0,2.0,0.3,0.55,0.43,0.0,0.0,0.0,26.11,18.0,18.45,5.0,0.21,0.0,0.0,1.49,1.52,1.36,10.75,0.82,0.69,2.48,0.33,5.89,4.79,0.82,0.81,0.81,10.0,5.0,3.0,18.0,1.0,0.0,0.0,4.0,0.0,4.0,6.0,9.0,14.0,1.0,2.0,6.0,13.0,3.0,6.0,10.0,5.0,0.0,0.25,0.57,0.0,0.0,1.0,0.0,17.41,15.0,14.71,6.0,0.14,0.0,0.0,0.96,0.95,0.95,8481849,8482624,,0.09997998799279562,0.08716030534351116
566,84788828479402,2021,Gavrikov-Bean,CBJ,pairing,5on5,58,14247.0,364.0,0.47,0.47,0.47,111.73,9.89,7.52,25.81,3.41,59.36,45.02,9.78,9.92,9.81,105.0,46.0,38.0,189.0,9.0,5.0,2.0,31.0,1.0,39.0,66.0,96.0,142.0,24.0,53.0,95.0,88.0,26.0,33.0,107.0,38.0,6.0,3.42,4.92,1.55,2.0,6.0,1.0,188.77,151.0,151.49,19.0,1.56,1.15,1.15,10.3,10.3,10.24,121.79,11.2,8.65,27.14,3.91,68.01,49.08,10.8,11.32,10.92,133.0,35.0,47.0,215.0,15.0,8.0,1.0,36.0,2.0,57.0,50.0,118.0,153.0,8.0,19.0,127.0,65.0,28.0,20.0,110.0,50.0,8.0,3.1,6.02,2.08,3.0,10.0,2.0,218.6,168.0,169.75,14.0,1.79,1.92,1.92,11.07,11.21,11.03,8478882,8479402,,-0.012480240938685994,0.0
569,84746028475200,2021,Orlov-Schultz,WSH,pairing,5on5,63,12579.0,305.0,0.48,0.55,0.56,112.34,8.15,7.2,27.41,3.6,62.04,46.59,7.95,8.25,8.04,102.0,53.0,47.0,202.0,7.0,8.0,1.0,29.0,2.0,50.0,59.0,95.0,148.0,6.0,15.0,87.0,85.0,18.0,30.0,124.0,27.0,4.0,3.86,3.08,1.21,5.0,1.0,1.0,201.17,155.0,155.66,16.0,1.48,1.53,1.55,8.08,8.13,8.03,89.02,8.94,6.51,21.34,2.99,47.65,34.57,8.78,9.14,8.98,98.0,24.0,40.0,162.0,11.0,9.0,4.0,22.0,6.0,34.0,40.0,87.0,111.0,14.0,31.0,85.0,90.0,24.0,30.0,81.0,31.0,10.0,2.31,3.78,2.86,5.0,0.0,6.0,162.54,122.0,122.84,17.0,1.35,1.8,1.8,8.49,8.62,8.52,8474602,8475200,,0.03519235532072984,0.049157521157521145
