playerId,playerName,games_played,icetime,onIce_corsiPercentage,offIce_corsiPercentage,timeOnBench,on_off_corsi_diff,OnIce_F_goals_per60,OnIce_A_goals_per60,I_F_dZoneGiveaways_per60,I_F_giveaways_per60,average_TOI,I_F_hits_per60,I_F_takeaways_per60,I_F_points_per60,shotsBlockedByPlayer_per60,I_F_oZoneShiftStarts_per60,I_F_dZoneShiftStarts_per60,I_F_neutralZoneShiftStarts_per60,I_F_flyShiftStarts_per60,I_F_primaryAssists_per60,I_F_secondaryAssists_per60,I_F_goals_per60
8477492,Nathan MacKinnon,636,577763.0,0.5153023471561871,0.4770214145105852,1254243.0,0.03828093264560184,3.127926156572851,2.386445653321518,0.5233980022950587,1.6823507216626885,908.4323899371069,2.479909582302778,1.8568167224277081,2.280519867142756,1.6636579358664365,13.19710677215398,8.0129741779934,16.792352573633135,38.36382738250805,0.9159465040163526,0.48601243070255457,0.8785609324238485
8475726,Tyler Toffoli,651,493699.0,0.5507094606227682,0.5249403412681694,1424100.0,0.025769119354598802,2.5521623499338664,2.041729879947093,1.013573047545164,1.6844271509563518,758.3701996927804,3.988665158325214,1.545881194817085,1.7500541828117941,0.780232489836925,11.083676491141363,8.050249240934255,13.767092904786114,48.60775492759758,0.5323081472719207,0.41563786841780115,0.8021081671220723
8477479,Tyler Bertuzzi,275,235897.0,0.48662242419361,0.4580810822953676,578696.0,0.028541341898242423,2.7164398021170255,2.7317006998817277,0.6562186038822029,2.3959609490582756,857.8072727272727,3.998355214352027,1.6176551630584535,1.9839167094113106,2.0754820959995253,10.804715617409293,9.248104045409649,14.467331080937868,39.632551494932116,0.5646532172939885,0.5646532172939885,0.8546102748233338
8478857,Dmytro Timashov,45,22419.0,0.4571229760471029,0.5286888084091511,113210.0,-0.07156583236204822,2.0875150541951024,2.569249297470895,0.48173424327579284,1.1240465676435165,498.2,15.25491770373344,0.8028904054596547,1.4452027298273786,1.7663588920112405,5.941389000401446,16.218386190285027,10.27699718988358,56.20232838217583,0.48173424327579284,0.3211561621838619,0.6423123243677238
8479998,Mikey Anderson,117,126562.0,0.5116873943205702,0.504619886259402,218040.0,0.007067508061168182,2.1902308749861725,2.1617863181681702,1.3368941704461055,1.5644506249901233,1081.7264957264956,5.489799465874433,0.6542248068140515,0.48355746590603815,3.2711240340702576,6.400025284050505,6.940471863592547,12.515604999920987,40.19215878383717,0.17066734090801347,0.19911189772601573,0.11377822727200898
8475690,Christopher Tanev,598,593404.0,0.5014840816711716,0.502807427201765,1147727.0,-0.0013233455305933228,2.268943249455683,2.056608988142985,1.292205647417274,1.63194046551759,992.314381270903,1.3953394314834413,0.8736038179722415,0.7037364089220834,5.284089760095989,8.887705509231486,11.138448679146078,15.524667848548372,47.30807342046902,0.22446764767342314,0.3579348976414045,0.12133386360725576
8473419,Brad Marchand,701,580690.0,0.579233119220238,0.5089896123327156,1482431.0,0.07024350688752246,3.2113520122612758,2.070640100570011,0.6261516471783568,2.969570683152801,828.3737517831669,3.000568289448759,2.2008300470130364,2.47980850367666,1.0043224439890475,11.965076030239889,9.08229864471577,15.73438495582841,41.443799617696186,0.8803320188052146,0.5145602645129072,1.084916220358539
8477456,J.T. Compher,341,238447.0,0.4807716180115498,0.5282703550008061,738111.0,-0.04749873698925633,2.2193611158873883,1.9777980012329783,0.3925400613134155,0.9662524586176384,699.258064516129,2.4760219252076983,1.207815573272048,1.3285971305992526,3.336590521164032,9.436059166187874,9.873892311498992,11.957374175393275,47.51244511358918,0.37744236664751496,0.2717585039862107,0.6793962599655269
8477380,Jonny Brodzinski,84,48489.0,0.4733799418424798,0.49583181530175835,202016.0,-0.02245187345927857,2.0788220008661757,1.5591165006496317,0.6681927859926994,0.8909237146569325,577.25,6.087978716822372,1.1136546433211656,1.1136546433211656,1.9303347150900203,10.319866361442802,7.053146074367382,10.765328218771268,56.79638680937945,0.3712182144403885,0.14848728577615544,0.5939491431046218
8471303,Alexander Edler,580,614763.0,0.49232813295530153,0.4888158124360499,1088738.0,0.003512320519251655,2.0788498982534733,2.3716456585708636,1.405419649523475,1.6982154098408655,1059.9362068965518,5.0946462295225965,0.74955714641252,0.7554130616188678,5.59239902206216,8.186569458474242,10.007759087648413,14.241585781837879,43.73783067621181,0.2459484386666081,0.35721082758721656,0.15225379536504313
