,games_played,icetime,onIce_corsiPercentage,offIce_corsiPercentage,timeOnBench,on_off_corsi_diff,OnIce_F_goals_per60,OnIce_A_goals_per60,I_F_dZoneGiveaways_per60,I_F_giveaways_per60,average_TOI,I_F_hits_per60,I_F_takeaways_per60,I_F_points_per60,shotsBlockedByPlayer_per60,I_F_oZoneShiftStarts_per60,I_F_dZoneShiftStarts_per60,I_F_neutralZoneShiftStarts_per60,I_F_flyShiftStarts_per60,I_F_primaryAssists_per60,I_F_secondaryAssists_per60,I_F_goals_per60,average_corsi_influence,total_out_influence
shotsBlockedByPlayer_per60,0.09248787103169862,0.08732544756238557,-0.2619753857661003,-0.06626801644363375,0.09532732234974968,-0.24164434639524626,-0.1059086339046742,-0.009466471921948121,0.03521387485112925,-0.02691741639154571,-0.00934804107678158,0.13252808127395618,-0.06342429425178231,-0.0800815441789364,1.0,-0.10950392611470916,0.1943910501577603,0.09914561873096649,0.02467900880329477,-0.07378559014950287,-0.013727050633031028,-0.028680243128255806,-0.281668140751179,-0.2903210078230161
I_F_oZoneShiftStarts_per60,-0.03340263457959767,-0.04218765533736844,0.21560335508835285,0.1631789963727907,-0.03175472061839543,0.10464822528538972,-0.005841349279852199,-0.0788989373115451,-0.05576592088724543,-0.028179609020116975,-0.13528637085214942,-0.15394027021520099,0.01305763927534452,0.028340955101739417,-0.10950392611470916,1.0,-0.17096751512060257,0.11260870686417054,-0.06625498974444188,0.029177441275559244,-0.004018975992295916,0.015627999444459983,0.32498974451906526,0.292693247070088
I_F_dZoneShiftStarts_per60,0.3105522971941586,0.31773450802110703,-0.1494474505279127,-0.07257544176544557,0.3073720079348009,-0.10770382039241258,0.0063714826925367314,-0.012526860770898134,-0.02304729950572524,-0.06505098847726454,0.3019878813014915,0.09818162538321076,0.03067644942027022,0.03342141849690784,0.1943910501577603,-0.17096751512060257,1.0,0.3959585308579309,-0.27429542309485455,0.030776036635754338,0.08071945245065798,0.08011229624559142,-0.19810422814320347,-0.1991403247313515
I_F_neutralZoneShiftStarts_per60,0.23621261762580348,0.23889944425027176,-0.0015686434802250392,0.09544281429572325,0.23240542291105912,-0.09151817639872831,-0.055707374182821665,-0.04823513300490252,-0.043599862542499514,-0.06684720699708666,0.20783172830283725,0.009821173716679324,0.009243151229321855,-0.011185255029386052,0.09914561873096649,0.11260870686417054,0.3959585308579309,1.0,-0.36089623328102366,0.006248115243930149,0.012254648113803017,0.05908801934646042,-0.018253728261761346,-0.04912969509440903
I_F_flyShiftStarts_per60,-0.475635542649994,-0.504898806659926,-0.18801419539844172,-0.0536255317677262,-0.4591959583104038,-0.1373641992734513,-0.18709924808089318,0.09038037567368136,-0.012006213554966082,-0.04193393274310011,-0.6775769477239704,0.18375608540122337,-0.1819201897004158,-0.27348773422581363,0.02467900880329477,-0.06625498974444188,-0.27429542309485455,-0.36089623328102366,1.0,-0.2648927798453076,-0.24625177890426933,-0.3057753531544655,-0.09018833120109487,-0.12254563125527988
I_F_primaryAssists_per60,0.4549543062218131,0.4604232972007627,0.26000531313151837,0.031590621891601625,0.45146157549640126,0.25718277412249224,0.42025436863478516,0.004425964355052028,0.155357928901164,0.16860328421830956,0.34763771163403645,-0.14387153395917318,0.29301202058190245,0.6592348800040679,-0.07378559014950287,0.029177441275559244,0.030776036635754338,0.006248115243930149,-0.2648927798453076,1.0,0.3384776312481387,0.37052810358767607,0.2952987249374971,0.32932139347418804
I_F_secondaryAssists_per60,0.3785191490125279,0.3845528891152174,0.21430903774323845,0.04354031927116179,0.3742062620019631,0.21167588964245723,0.4572036106240958,0.04912371106572967,0.0230552802132461,0.04159919776783359,0.27962135330252985,-0.13115521158354232,0.1457879314729885,0.7447823212631514,-0.013727050633031028,-0.004018975992295916,0.08071945245065798,0.012254648113803017,-0.24625177890426933,0.3384776312481387,1.0,0.2901160994612607,0.19771871564383703,0.2272244910939614
I_F_goals_per60,0.5018685211324881,0.5101230579230591,0.23679277498197382,-0.03486593293526213,0.4969234431388855,0.26804275865219035,0.41943212254851037,0.016664788688446782,0.12063402558450884,0.14675948833683988,0.4070469843668566,-0.10239527416465044,0.2796138571594241,0.5794820186774786,-0.028680243128255806,0.015627999444459983,0.08011229624559142,0.05908801934646042,-0.3057753531544655,0.37052810358767607,0.2901160994612607,1.0,0.1989781570053496,0.2144630144133082
average_corsi_influence,0.1308634283591458,0.1315663432696547,0.7249127880216523,0.1554072552403036,0.1267648848726472,0.6540824695793449,0.2381450156559496,-0.17840360704423064,0.010144406187368313,0.05000992640396407,0.07511015062709449,-0.2074564333646182,0.26250044200005135,0.29058214998085574,-0.281668140751179,0.32498974451906526,-0.19810422814320347,-0.018253728261761346,-0.09018833120109487,0.2952987249374971,0.19771871564383703,0.1989781570053496,1.0,0.8990219471799907
total_out_influence,0.12619979108317475,0.1297491892535182,0.6955161508272472,0.12379689114511706,0.12120487250295944,0.6471865214798787,0.2510609171059619,-0.17468628145727905,0.06184566199918317,0.11744246787893213,0.10932088430645451,-0.22314862648681935,0.315146312428557,0.3267706146661211,-0.2903210078230161,0.292693247070088,-0.1991403247313515,-0.04912969509440903,-0.12254563125527988,0.32932139347418804,0.2272244910939614,0.2144630144133082,0.8990219471799907,1.0
